uniqueDri,uniqueTa,drugName,targetName,organism
CCOC(=O)/C=C1\CC2(CCCCC2)CC(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,Doravirine,,Homo sapiens (Human).
CCCCN(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)c1ncnc2c1nc(CC)n2C,,1-[(2-AMINO-4-CHLORO-5-METHYLPHENYL)SULFONYL]-L-PROLINE,,Homo sapiens (Human).
CCOC(=O)/C=C1\CC(C)(C)CC(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,,EM-1745,,Homo sapiens (Human).
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc1,,Enalkiren,,Homo sapiens (Human).
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CO)C(=O)O)cc1,,"(1S,2R,3S,4R,5S)-8-AZABICYCLO[3.2.1]OCTANE-1,2,3,4-TETROL",,Homo sapiens (Human).
CC[C@@H](C)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,Violaxanthin,,Homo sapiens (Human).
NC(=O)CC[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,1(R)-1-Acetamido-2-(3-Carboxyphenyl)Ethyl Boronic Acid,,Homo sapiens (Human).
CC(C)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,N-Methylmesoporphyrin Containing Copper,,Homo sapiens (Human).
C[C@@H](O)[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL",,Homo sapiens (Human).
CSCC[C@H](NC(=O)c1ccc(S(N)(=O)=O)cc1)C(=O)O,,2-Aminobenzyl alcohol,,Homo sapiens (Human).
NS(=O)(=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,,"N-{2'-[(4-FLUOROPHENYL)AMINO]-4,4'-BIPYRIDIN-2-YL}-4-METHOXYCYCLOHEXANECARBOXAMIDE",,Homo sapiens (Human).
NS(=O)(=O)c1ccc(C(=O)N[C@@H](Cc2ccccc2)C(=O)O)cc1,,"1-(2-{[(6-amino-2-methylpyridin-3-yl)methyl]amino}ethyl)-6-chloro-3-[(2,2-difluoro-2-pyridin-2-ylethyl)amino]-1,4-dihydropyrazin-2-ol",,Homo sapiens (Human).
CN(C(=O)CCc1ccc(N=[N+]=[N-])cc1)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,,BMS-582949,,Homo sapiens (Human).
CN(C(=O)Cc1ccc(N=[N+]=[N-])cc1)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,,Nicotinyl alcohol,,Homo sapiens (Human).
CN(C(=O)CCc1cccc(N=[N+]=[N-])c1)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,,Isoflupredone,,Homo sapiens (Human).
CN[C@@H]1CC2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,,staurosporine,,Homo sapiens (Human).
C[NH+](C)C1CCc2cc(O)c(O)cc2C1,,TL99,,Homo sapiens (Human).
NCc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,Choline C 11,,Homo sapiens (Human).
NCc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)c(C(=O)O)c1,,Virginiamycin M1,,Homo sapiens (Human).
N=C(N)NCCC[C@H](N)C(=O)NCc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,Cevipabulin,,Homo sapiens (Human).
CCCC[N+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,Zonisamide,,Homo sapiens (Human).
CCNC(=NCc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1)NCC,,Finasteride,,Homo sapiens (Human).
N=C(N)NCc1ccc(NC(=O)[C@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,"(2S)-1-(6H-INDOL-3-YL)-3-{[5-(7H-PYRAZOLO[3,4-C]PYRIDIN-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE",,Homo sapiens (Human).
N=C(N)NCc1ccc(NC(=O)[C@@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,Ethchlorvynol,,Homo sapiens (Human).
CCCC[N+](CCCC)(CCCC)Cc1ccc(NC(=O)[C@@H](Cc2ccc3ccccc3c2)N=C(NC2CCCCC2)NC2CCCCC2)cc1,,2-Allylphenol,,Homo sapiens (Human).
O=C(O)CCCC/C=C(\c1cccnc1)c1ccccc1C1=N[C@@H](C(=O)NCCCCC2CCCCC2)CO1,,(4S)-5-[[(1S)-1-Carboxy-2-cyclohexylethyl]amino]-4-[[(2S)-2-[[(3R)-4-cyclohexyl-2-oxo-3-(phenylmethoxycarbonylamino)butanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]-5-oxopentanoic acid,,Homo sapiens (Human).
O=C(O)CCCC/C=C(\c1cccnc1)c1cccc(C2=N[C@@H](C(=O)NCCCCC3CCCCC3)CO2)c1,,"1,6-DI-O-PHOSPHONO-D-MANNITOL",,Homo sapiens (Human).
O=C(O)CCCC/C=C(/c1ccc(C2=N[C@@H](C(=O)NCCCCC3CCCCC3)CO2)cc1)c1cccnc1,,5-methylbenzimidazole,,Gallus gallus (Chicken).
O=C(O)CCCC/C=C(/c1cccnc1)c1ccccc1C1=N[C@@H](C(=O)NCCCCC2CCCCC2)CO1,,Curcumin sulfate,,Homo sapiens (Human).
CCOC(=O)[C@]1(c2cccc(O)c2)CCCN(CC2CC2)[C@H]1C,,Zuclopenthixol,,Homo sapiens (Human).
C=CCN1CCC[C@](C(=O)OCC)(c2cccc(O)c2)[C@@H]1C,,ORE-1001,,Homo sapiens (Human).
CCOC(=O)[C@]1(c2cccc(O)c2)CCCN(C)[C@H]1C,,Bicisate,,Homo sapiens (Human).
N=C(N)NCCCCC(=O)NC(Cc1cccs1)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NC(CCCNC(=N)N)C(=O)O)CC2CCCCC21,,"4,5,6,7-Tetrachloro-3h-Isobenzofuran-1-One",,Homo sapiens (Human).
N=C(N)NCCCCCC(=O)NC(Cc1cccs1)C(=O)N1Cc2ccccc2CC1C(=O)N1C(C(=O)NC(CCCNC(=N)N)C(=O)O)CC2CCCCC21,,Dextromethadone,,Homo sapiens (Human).
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccc(NC(=O)Nc2ccccc2C)cc1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O,,Brovanexine,,Homo sapiens (Human).
N=C(N)NCCCC(NC(=O)C1CC2CCCCC2N1C(=O)C1Cc2ccccc2CN1C(=O)C(Cc1ccccc1)NC(=O)CCCN)C(=O)O,,Sulfachlorpyridazine,,Homo sapiens (Human).
N=C(N)NCCCC(NC(=O)C1CC2CCCCC2N1C(=O)C1Cc2ccccc2CN1C(=O)C(Cc1cccs1)NC(=O)CCCN)C(=O)O,,(S)-famoxadone,,Homo sapiens (Human).
NS(=O)(=O)c1ccc(C(=O)NC(=O)c2ccco2)cc1,,"5-amino-2,4,6-tribromobenzene-1,3-dicarboxylic acid",,Homo sapiens (Human).
CC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cccc(NC(=O)Nc2ccccc2C)c1)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](Cc1ccc(C)cc1)C(N)=O,,"3h-Indole-5,6-Diol",,Homo sapiens (Human).
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NC(Cc1cccc(NC(=O)Nc2ccccc2C)c1)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc1ccc(C)cc1)C(N)=O,,Tribenoside,,Homo sapiens (Human).
CN1CCCC[C@H]1[C@H](O)COc1ccccc1,,Gepefrine,,Homo sapiens (Human).
CC(C)N(C)CC(O)COc1ccccc1,,1-[Methyl(propan-2-yl)amino]-3-phenoxypropan-2-ol,,Homo sapiens (Human).
NCC(=O)[C@@H]([NH3+])C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1,,4-Nitrophenyl-Ara,,Homo sapiens (Human).
NCCCCC(N)C(=O)[C@@H]([NH3+])C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1,,Minoxidil,,Homo sapiens (Human).
NC(CCC(=O)O)C(=O)[C@@H]([NH3+])C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1,,4-METHYL-PENTANOIC ACID {1-[4-GUANIDINO-1-(THIAZOLE-2-CARBONYL)-BUTYLCARBAMOYL]-2-METHYL-PROPYL}-AMIDE,,Homo sapiens (Human).
C/C=C(\C)CC(=C/C(=O)O)/C=C(C)/C=C1\CCCC(CC)=C1C(C)C,,RU79073,,Homo sapiens (Human).
CCC(C)/C=C/CC(=C/C(=O)O)/C=C/C1=C(C)CCCC1(C)C,,Oxyphencyclimine,,Homo sapiens (Human).
COc1c(C(C)=O)c(OCc2ccccc2)c(OC)c2occc12,,N-sulfo-flavin mononucleotide,,Homo sapiens (Human).
C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@@H](O)[C@@H](OC)C[C@@H](C)c2ncoc2C(=O)N2CCCC[C@H]2C(=O)O[C@H](/C(C)=C/[C@@H]2CC[C@@H](O)[C@H](OC)C2)[C@H](C)C(O)CC1=O,,"2-(Oxalyl-Amino)-4,5,6,7-Tetrahydro-Thieno[2,3-C]Pyridine-3-Carboxylic Acid",,Homo sapiens (Human).
CCCC1C(=O)CC[C@@H](C)[C@@H](CCc2cccnc2)OC(=O)[C@@H]2CCCN(C2)C(=O)C(O)CCS(=O)CC[C@@H](OC)C[C@@H](C)CC(=O)N1C,,"(S)-2-[4-(Aminomethyl)-1h-1,2,3-Triazol-1-Yl]-4-Methylpentanoic Acid",,Homo sapiens (Human).
CCC(C)C1C(=O)CC[C@@H](C)[C@@H](CCc2cccnc2)OC(=O)[C@@H]2CCCN(C2)C(=O)C(=O)CCSCC[C@@H](OC)C[C@@H](C)CC(=O)N1C,,2-(Thiomethylene)-4-Methylpentanoic Acid,,Homo sapiens (Human).
COc1c(C(C)=O)c(Oc2ccc(Oc3c(C(C)=O)c(OC)c4ccoc4c3OC)c(C)c2C)c(OC)c2occc12,,GSI-136,,Homo sapiens (Human).
CCCC1C(=O)CC[C@@H](C)[C@@H](CCc2cccnc2)OC(=O)[C@@H]2CCCN(C2)C(=O)C(=O)CSCC[C@@H](OC)C[C@@H](C)CC(=O)N1C,,Zilucoplan,,Homo sapiens (Human).
COc1c(C(C)=O)c(Oc2cc(C)c(Oc3c(C(C)=O)c(OC)c4ccoc4c3OC)cc2C)c(OC)c2occc12,,6-CYCLOHEXYLMETHYLOXY-2-(4'-HYDROXYANILINO)PURINE,,Homo sapiens (Human).
COc1c(C(C)=O)c(Oc2cc(C)c(Oc3c(C(C)=O)c(OC)c4ccoc4c3OC)c(C)c2)c(OC)c2occc12,,Almorexant,,Homo sapiens (Human).
C=C1C[C@@]2(O)[C@@H]3CC[C@@]4(C)[C@@H]5C=CC(=O)OC[C@]5(C(C)OC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]4[C@@]3(C)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@]2(C)C2(C(=O)OC)O[C@H]12,,Deferoxamine,,Homo sapiens (Human).
O=[N+]([O-])c1ccc(OCCCN2CCC(Nc3nc4ccccc4s3)CC2)cc1,,Etheno-Nadp,,Homo sapiens (Human).
CC1(C)CC(=O)Nc2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,,PD-0325901,,Homo sapiens (Human).
CC1(C)CCNc2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,,Eltrombopag,,Homo sapiens (Human).
CCCCCCCN1CCC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,,"8-bromo-4-(2-chlorophenyl)-N-(2-hydroxyethyl)-6-methyl-1,3-dioxo-1,2,3,6-tetrahydropyrrolo[3,4-e]indole-7-carboxamide",,Homo sapiens (Human).
CC1(C)CCNc2ccc(C#Cc3ccc(C(=O)O)cc3)cc21,,"4,6-dideoxy-4-amino-beta-D-glucopyranoside",,Homo sapiens (Human).
CC(C)N1C(=O)CC(C)(C)c2cc(C#Cc3ccc(C(=O)O)cc3)ccc21,,Primaquine,,Homo sapiens (Human).
CC(C)N1C(=O)CC(C)(C)c2ccc(C#Cc3ccc(C(=O)O)cc3)cc21,,MK-0893,,Homo sapiens (Human).
O=C(O)c1ccccc1C(=O)n1ccnc1,,CPG-52852,,Homo sapiens (Human).
NCc1ccc(CNC(=O)[C@@H](CN)n2cccc2CNC(=O)CC2CCCCC2)cc1,,Muscimol,,Homo sapiens (Human).
NC(N)=NC[C@H]1C[C@@H](OCc2ccccc2)CN1C(=O)c1ccc2ccccc2c1,,Pralidoxime,,Homo sapiens (Human).
CCCCC1(CCCC)Oc2cccc(N(CCCN)C(=O)c3ccc(CN)cc3)c2O1,,"N-(1-CYANOCYCLOPROPYL)-3-({[(2S)-5-OXOPYRROLIDIN-2-YL]METHYL}SULFONYL)-N~2~-[(1S)-2,2,2-TRIFLUORO-1-(4-FLUOROPHENYL)ETHYL]-L-ALANINAMIDE",,Homo sapiens (Human).
NCCCN1C(=O)C(CCN)N=C(c2ccccc2)c2cc(N(Cc3ccccc3)Cc3ccccc3)ccc21,,Icotinib,,Homo sapiens (Human).
N=C(N)NCCCN1C(=O)C(CN=C(N)N)N=C(c2ccccc2)c2cc(N(Cc3ccccc3)Cc3ccccc3)ccc21,,Calcium levulinate,,Homo sapiens (Human).
CCCCc1ccnc([C@H](CC2CCCCC2)NC(=O)c2ccc(CN)cc2)c1,,Flufenoxuron,,Homo sapiens (Human).
CCCCc1ccnc([C@H](CC2CCCCC2)NC(=O)CCCCN(CCCC)CCCC)c1,,VB-201,,Homo sapiens (Human).
CCCCC1(CCCC)Oc2cccc(NC(=O)c3ccc(CN)cc3)c2O1,,Remetinostat,,Homo sapiens (Human).
NC[C@H]1C[C@@H](OCc2ccccc2)CN1C(=O)c1ccc2ccccc2c1,,1-[2-AMINO-2-CYCLOHEXYL-ACETYL]-PYRROLIDINE-3-CARBOXYLIC ACID 5-CHLORO-2-(2-ETHYLCARBAMOYL-ETHOXY)-BENZYLAMIDE,,Homo sapiens (Human).
NCc1ccc(CNC(=O)[C@@H](CN)n2cccc2CNC(=O)C(c2ccccc2)C2CCCCC2)cc1,,Indoleacetamide,,Homo sapiens (Human).
CC(=N)c1c(O)c(O)c(C(C)C)c2cc(C)c(-c3c(C)cc4c(C(C)C)c(O)c(O)c(C(C)=N)c4c3O)c(O)c12,,Fluoromisonidazole F-18,,Homo sapiens (Human).
COc1ccc(Cn2cccc(NC(=O)C(Cc3ccc(CC(=O)O)cc3)NC(=O)Cc3cccc4ccccc34)c2=O)cc1,,Ciclobendazole,,Homo sapiens (Human).
COc1ccc(Cn2ccc(C)c(NC(=O)C(Cc3ccc(C(C)(C)C(=O)O)cc3)NC(=O)C(C)(C)c3cccc4ccccc34)c2=O)cc1,,"(2S,3S)-4-cyclopropyl-3-{(3R,5R)-3-[2-fluoro-4-(methylsulfonyl)phenyl]-1,2,4-oxadiazolidin-5-yl}-1-[(3S)-3-fluoropyrrolidin-1-yl]-1-oxobutan-2-amine",,Homo sapiens (Human).
Cc1cc2c(C(C)C)c(O)c(O)c(C(=O)O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C(=O)O)c2c1O,,JTK-853,,Homo sapiens (Human).
C=CCC1/C=C(\C)CCOC(=O)OC(=O)CCCC(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O,,3-[Isopropyl(4-Methylbenzoyl)Amino]-5-Phenylthiophene-2-Carboxylic Acid,,Homo sapiens (Human).
C=CCC1/C=C(\C)CCOC(=O)OC(=O)C2CC[C@@](C)(O2)C(=O)C(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O,,"(1-HYDROXY-1-PHOSPHONO-2-[1,1';4',1'']TERPHENYL-3-YL-ETHYL)-PHOSPHONIC ACID",,Homo sapiens (Human).
C=CCC1/C=C(\C)CCCOC(=O)OC(=O)C2CC[C@@](C)(O2)C(=O)C(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O,,Isoniazid,,Homo sapiens (Human).
COc1ccc(COc2ccc(Br)cc2-c2cc(CO)on2)cc1,,Gatifloxacin,,Homo sapiens (Human).
COC(=O)C1CC(c2cc(Br)ccc2OCc2ccc(OC)cc2)=NO1,,"4-amino-7,7-dimethyl-7,8-dihydroquinazolin-5(6H)-one",,Homo sapiens (Human).
C[C@](Cc1c[nH]c2ccccc12)(NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)N[C@@H](CC(=O)O)Cc1ccc(N)c(I)c1,,4-(4-CHLOROPHENYL)-4-[4-(1H-PYRAZOL-4-YL)PHENYL]PIPERIDINE,,Homo sapiens (Human).
COCc1cc(-c2ccccc2OCc2ccc(Br)cc2)no1,,Pseudotropine,,Homo sapiens (Human).
COc1cccc(COc2ccccc2-c2cc(CO)on2)c1,,Indopan,,Homo sapiens (Human).
COc1cccc(COc2ccccc2C2=NOC(CCl)C2)c1,,S-palmitoyl-L-cysteine,,Homo sapiens (Human).
COC(=O)C1CC(c2ccccc2OCc2ccc(OC)cc2)=NO1,,Candicidin,,Homo sapiens (Human).
OCc1cc(-c2ccccc2OCc2ccc(Br)cc2)no1,,Umifenovir,,Homo sapiens (Human).
C=CCC1/C=C(\C)CCOC(=O)OC(=O)CCC(=O)C(=O)OC(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H](CCc2cccnc2)[C@H](C)CCC1=O,,Bucindolol,,Homo sapiens (Human).
COc1ccc(COc2ccccc2C2=NOC(CCl)C2)cc1,,Acetyl chloride,,Homo sapiens (Human).
CCCCc1cc(-c2ccccc2OCc2ccc(OC)cc2)no1,,Latamoxef,,Homo sapiens (Human).
COc1ccc(COc2ccccc2-c2cc(CCO)on2)cc1,,Pantoprazole,,Homo sapiens (Human).
ClCc1cc(-c2ccccc2OCc2ccc(Br)cc2)no1,,1-butanoyl-N-(4-carbamimidoylbenzyl)-L-prolinamide,,Homo sapiens (Human).
CSCC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](C)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@H](NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](CO)NC(=O)[C@H](N)Cc1c[nH]cn1)[C@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](C(N)=O)[C@H](C)O,,Treprostinil,,Homo sapiens (Human).
CSCC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@@H](C)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)NC(=O)[C@@H](CO)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CO)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@@H](CO)NC(=O)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](NC(=O)CNC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](N)CO)[C@H](C)O)[C@H](C)O)C(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](C(N)=O)[C@H](C)O,,"1,4-Dithiothreitol",,Homo sapiens (Human).
Oc1ccccc1CNc1ncccc1-c1ncccn1,,Etarfolatide,,Rattus norvegicus (Rat).
CN(C)c1ccc(-c2c[nH]c(SCCc3cnc[nH]3)n2)cc1,,1-[2-HYDROXY-3-(4-CYCLOHEXYL-PHENOXY)-PROPYL]-4-(2-PYRIDYL)-PIPERAZINE,,Homo sapiens (Human).
CCNCCc1cnc(-c2cccc(C(F)(F)F)c2)[nH]1,,"METHYL N-[(2S,3R)-3-AMINO-2-HYDROXY-3-(4-METHYLPHENYL)PROPANOYL]-D-ALANYL-D-LEUCINATE",,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv).
CNCCc1cnc(-c2cccc(Br)c2)[nH]1,,"1,4-dithio-beta-D-glucopyranose",,Homo sapiens (Human).
CN(C)CCc1cnc(-c2cccc(Br)c2)[nH]1,,2-Aminoprop-2-Enamide,,Homo sapiens (Human).
FC(F)(F)c1cccc(-c2ncc(CCNC3CC3)[nH]2)c1,,2'-cyano-2'-deoxy-1-(beta-D-arabinofuranosyl)cytosine,,Homo sapiens (Human).
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc3ccccc3)NC2=O)cc1,,Imidafenacin,,Homo sapiens (Human).
CCOc1ccc(C[C@@H]2NC(=O)CCSSC[C@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,,"4-{5-[(Z)-(2-IMINO-4-OXO-1,3-THIAZOLIDIN-5-YLIDENE)METHYL]FURAN-2-YL}BENZENESULFONAMIDE",,Homo sapiens (Human).
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CCSSC[C@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,,Thiarsahydroxy-Cysteine,,Homo sapiens (Human).
CN(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(=O)[C@@H]1CSSC2(CCCCC2)CC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1,,Omacetaxine mepesuccinate,,Homo sapiens (Human).
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CC2(CCCCC2)SSC[C@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,,AZD-8186,,Homo sapiens (Human).
CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(OC)cc2)NC(=O)CCSSC[C@H](C(=O)N2CCC[C@H]2C(=O)N(C)CC(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,,Triethylene glycol,,Homo sapiens (Human).
CCOc1ccc(C[C@@H]2NC(=O)CC3(CCCCC3)SSC[C@H](C(=O)N(C)CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H]([C@@H](C)CC)NC2=O)cc1,,N-({6-[(4-CYANO-2-FLUOROBENZYL)OXY]NAPHTHALEN-2-YL}SULFONYL)-D-GLUTAMIC ACID,,Homo sapiens (Human).
CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)CCSSC[C@H](C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O,,"[2-(1-amino-2-hydroxy-propyl)-4-(1H-indol-3-ylmethylene)-5-oxo-4,5-dihydro-imidazol-1-yl]-acetaldehyde",,Homo sapiens (Human).
CN(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(=O)[C@@H]1CSSC2(CCCCC2)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1,,Kinetin,,Homo sapiens (Human).
CN(CC(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(N)=O)C(=O)[C@H]1CSSC2(CCCCC2)CC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1,,Allantoate,,Homo sapiens (Human).
COC(=O)[C@]12CCCN1C(=O)[C@](Cc1ccccc1)(NC(=O)OCc1ccccc1)CC2,,"2,6-Diamino-8-Propylsulfanylmethyl-3h-Quinazoline-4-One",,Homo sapiens (Human).
CCO[C@@H](Cc1ccc(OCC=C(c2ccccc2)c2ccccc2)cc1)C(=O)O,,(3S)-1-(2-hydroxyphenyl)-5-oxopyrrolidine-3-carboxylic acid,,Homo sapiens (Human).
